,Adresse,latitude,longitude
90,Rechlinerstraße 1 Manching 85077,48.7089303,11.5097395
91,Haunstetter Str. 225 Augsburg 86179,48.3176365,10.9094975
92,Industriestr. 4 Donauwörth 86609,48.7074724,10.7727756
93,Flupplatzstraße Calden 34379,,
94,Kreetslag 10 Hamburg 21129,53.5373072,9.8483151
95,Werkstr 1 Dillingen 66763,49.355597,6.7325219
96,Düsseldorfer Str. 96-100 Hilden 40721,51.1642042,6.9130584
97,Hubertus-Liebrecht-Str. 21 Biberach an der Riß 88400,48.1216268,9.8015431
98,Bergratherstr. 66 Eschweiler 52249,50.8136199,6.273362
99,Am Anschlag 4 Halver 58553,51.1648625,7.4807121
100,Süntelstraße 11a Hamburg 22457,53.6308503,9.9047575
101,Eckenbergstraße 16b Essen 45307,51.463914,7.0704732
102,Schönthaler Str. 55-59 Langerwehe 52379,50.7928826,6.3413803
103,Alfred-Ritter-Straße 25  Waldenbuch 71111,48.6384286,9.1234257
104,Steinzeugstraße 50 Mannheim 68229,49.4481765,8.5673432
105,Möllner Landstraße 15 Witzhave 22969,53.5663163,10.3306836
106,Alt-Fechenheim 34 Frankfurt am Main 60386,50.1285878,8.767147
107,Ursulasrieder Straße 2 Kempten 87437,47.7485332,10.3231556
108,Rotlaymühle Bad Kreuznach 55545,,
109,Kasteler Str. 45 Wiesbaden 65203,50.047631,8.2421634
110,Salegaster Chaussee 1 Bitterfeld-Wolfen 6803,51.6598069,12.2975279
111,Giulinistr.2 Ludwigshafen 67065,49.4537757,8.4285881
112,"Haberstr. 9,  Berlin 12057",52.4628724,13.4626941
113,Lehen 24 Pfaffing 83539,48.0249709,12.1124464
114,Von Miller Straße 11 Kaiserslautern 67661,49.4405565,7.6610092
115,Siegstraße 27 Netphen 57250,50.9129646,8.0469605
116,Alte Leipziger Platz 1 Oberursel 61440,50.2119351,8.5746812
117,Remsaer Straße 17-19 Altenburg 4600,51.0019828,12.4595329
118,Wartenberger Chaussee 12 Bismark 39629,52.6565143,11.5458762
119,Bahnhofstraße 48 Treuchtlingen 91757,48.958515,10.9092949
120,Ebertallee 209 Dessau-Roßlau 6846,51.8439946,12.2038521
121,Bahnhofstraße 43 Redwitz 96257,,
122,Johann-Rathje-Köser-Straße 1 Stade-Bützfleth 21683,53.6490394,9.4913542
123,Friedrichstraße 50 Rheinfelden 79618,47.5674084,7.7993295
124,Uelzener Weg 36 Unna 59425,51.5393772,7.7055466
125,Fabrikstr. 2 Unterneukirchen 84579,,
126,Harald Friedrich Str. 2-8 Altenmarkt 83352,47.9993043,12.535904
127,Claußallee 1 Freiberg 9599,50.9172813,13.3298087
128,Alusingen-Platz 1 Singen (Hohentwiel) 78224,47.7621884,8.8542148
129,Friedrich-Meyer-Strasse 23 Teningen 79331,48.1274859,7.8158571
130,Gewerbepark 1 Trollenhagen 17039,53.5952977,13.2927464
131,Krankenhausstraße 15 Dachau 85221,48.2654865,11.4281485
132,Biomilchstraße 1 Andechs 82346,47.9653754,11.1918172
133,Paitzdorfer Straße 62 Ronneburg 7580,50.8516803,12.203272
134,Bahnhofstraße 31 Breuberg 64747,49.8139884,9.0381215
135,Burdaper Heide 8 Borken 46325,,
136,Harland 19  1/2 Zolling 85406,48.476834,11.758543
137,Anton-Häring-Straße 1 Bubsheim 78585,48.1152787,8.8301905
138,Friedrich-Schmidt-Str. 2 Waldkraiburg 84478,48.2200809,12.4128555
139,Auwießenstraße 6 Deggendorf 94469,,
140,Arthur-Hehl-Straße Loßburg 72290,48.4063654,8.4515547
141,Prosperstr. 350 Bottrop 46238,51.5200972,6.9906271
142,Dradenaustr. 33 Hamburg 21129,53.5248196,9.8998953
143,Vohwinkel Straße 107 Duisburg 47137,51.4608896,6.7490597
144,Ludwig-Hermann-Straße 100 Gersthofen 86368,48.4443416,10.8796851
145,Rehlinger Str. 1 Langweid am Lech 86462,48.4870248,10.8657408
146,Göttinger Chaussee 12-14 Hannover 30453,52.3482022,9.7143473
147,Meißner Straße 35 Radebeul 1445,51.0969716,13.6927573
148,Schledehauser Str. 133 Bad Essen 49152,52.3248449,8.3155517
149,Wallenroderstraße 8 - 10 Berlin 13435,52.6036414,13.3412774
150,Flurstraße 37 Zwickau 8056,50.7041731,12.4698772
151,Im Scheid 1 Pronsfeld 54597,,
152,Corveyer Allee 15 Höxter 37671,51.7775016,9.3904182
153,Ferdinand-Porsche-Str. 6 Ellwangen 73479,48.9627064,10.1817119
154,Uferstraße 105 Gelsenkirchen 45881,51.5282689,7.0582217
155,Industriestraße 4 Lutherstadt Eisleben 6295,51.503729,11.5923765
156,Industriestraße 6 Aschaffenburg 63741,50.0897123,9.2521213
157,Brunnenallee 19 Bad Wildungen 34537,51.1171379,9.114575
158,Lindenlohe 18 Schwandorf 92421,49.3609791,12.1518252
159,Prenzlauer Chaussee 30  Pasewalk 17309,53.4893772,13.9856919
160,Naumburger Straße 76 Weißenfels 6667,51.1939105,11.9568078
161,Hubertusstraße 12-22 Birkenwerder 16547,52.6897186,13.2969799
162, Paul-Ehrlich-Straße 1   Hamburg 22763,53.5549245,9.9023394
163,Kaiser-Karl-V.-Allee 3  Bad Abbach 93077,48.9327619,12.0382252
164,Am Klinikum 1 Schwedt 16303,53.0532176,14.275758
165,Norderstrasse 81 Sylt / OT Westerland  25980,,
166,Scharhof 1 Hirschau 92242,49.540394,11.9783395
167,August-Winkhaus-Str. 31 Telgte 48291,51.9914096,7.7751249
168,Kasseler Straße 113 Großalmerode 37247,51.2571338,9.7685286
169,Büchlerhausen 14 Engelskirchen 51766,50.9863577,7.4483221
170,Eggestraße 2 Warburg 34414,51.5565405,9.0484613
171,Am Fohlengarten 14 Hermeskeil  54411,49.6718603,6.97068
172,Paulinenweg 12 Halle (Westf.) 33790,52.0617423,8.3413256
173,Dieselstraße 49 Meppen 49716,52.6587819,7.2955953
174,Landsberger Straße 31-35 München 80339,48.1388841,11.5438939
175,Hovestr. 50 Hamburg 20539,53.5215886,10.0333149
176,Zweifaller Strasse 150 Stolberg 52224,50.7584717,6.234312
177,Im Mittelbruch 1 Roßdorf 64380,,
178,Lindenstr. 45 Lüneburg 21335,53.2436016,10.4064335
179,Kap-Horn- Strasse 12 Bremen 28237,53.1158863,8.7373301
180,Mittelstetter Str. 40 Rain 86641,48.695843,10.9338521
181,Fabrikstraße 4 Ettringen 86833,48.1100901,10.6668066
182,Bremenwörtstr. 5 Kehl 77694,48.5830122,7.8194338
183,Hägenichstr. 14 Ottersweier 77833,48.674074,8.1178388
184,Marie-Curie-Straße 6 Gronau 48599,52.2006769,7.0732107
185,Kasseler Landstraße 23 Witzenhausen 37213,51.3195575,9.8488948
186,Kampstraße 65 Horn-Bad Meinberg 32805,51.884243,8.9534585
187,Oberer Ladenberg 18 Berggießhübel 1816,50.8830708,13.9601927
188,Industriegebiet Pfieffewiesen Melsungen 34212,51.1091998,9.5580136
189,Flehinger Straße 59 Oberderdingen 75038,49.067143,8.8028288
190,Industriestrasse 149 Huerth 50354,50.8637696,6.8741944
191,Schipkauer Straße 1 Schwarzheide 1987,51.4781963,13.8799719
192,Große Drakenburger Straße 133 Nienburg (Weser) 31582,52.6472588,9.2098696
193,Glasuritstrasse 1 Münster 48165,51.9013032,7.6509271
194,Dr-Albert-Frank-Straße 32 Trostberg 83308,48.0219641,12.5537036
195,Chemiestrasse 22 Lampertheim 68623,49.6177026,8.4383374
196,HenkelstraÃe 67 Duesseldorf 40589,,
197,Elastogranstraße 60 Lemförde 49448,52.4609559,8.3824706
198,Carl-Bosch-Straße 38 Ludwigshafen 67056,49.4950285,8.4340721
199,Schipkauer Straße 1 Schwarzheide 1987,51.4781963,13.8799719
200,Rödemishallig 12 Husum 25813,54.4712788,9.0426064
