Firmenname,Adresse,Wärmemenge pro Jahr (in kWh/a)
GELITA,Friedrich Wilhelm Straße 155 Minden 32423,17117000.0
GFO Gemeinnützige Gesellschaft der Franziskanerinnen zu Olpe mbH,Dr.-Robert-Koch-Straße 18 Bergisch Gladbach 51465,1603404.0
GFO Kliniken Niederrhein,Asberger Str. 4 Moers 47441,121500.0
GIZEH Verpackungen GmbH u. Co. KG,Breiter Weg 40 Bergneustadt 51702,3536374.0
GKN Powder Metallurgy GmbH,Dahlienstrasse 43 Radevormwald 42477,330000.0
GSH Green Steam Hürth GmbH,Bertrams-Jadgweg 12a Hürth 50354,156520000.0
GePro Geflügel-Protein Vertriebs GmbH &Co.KG,Im Moore 1 Diepholz 49356,4259223.0
Geberit Keramik GmbH,Abelstraße 12 Wesel 46483,7842689.0
Geberit Mapress GmbH,Kronprinzstrasse 40 Langenfeld 40764,6545400.0
Gebr. Becker GmbH,Hölker Feld 29-31 Wuppertal 42279,282560.0
Gebr. Brasseler GmbH & Co. KG,Trophagener Weg 25 Lemgo 32657,1660320.0
Gebr. Eigelshoven GmbH & CO KG,Hauptstraße 250a Würselen 52146,5755772.0
Gebr. Steller KG,Eichholz 1 Halver 58553,1229900.0
Gebrüder Aurich GmbH,Schüttendeich 4 Radevormwald 42477,3774315.0
Gefriertrocknung Greven GmbH,Am Eggenkamp 8-10 Greven 48268,1914162.0
General Logistics Systems Germany GmbH & Co. OHG,Am Schornacker 103 Wesel 46485,1225082.0
Georg Utz GmbH,Nordring 67 Schüttorf 48465,14346694.0
Georgsmarienhütte GmbH,Neue Hüttenstraße 1 Georgsmarienhütte 49124,453394010.0
Gerhard van Clewe GmbH & Co.KG,Loikumer Str.10 Hamminkeln - Dingden 46499,2777900.0
Gerresheimer Bünde GmbH,Erich-Martens-Straße 26-32 Bünde 32257,1989000.0
Gerresheimer Essen GmbH,Ruhrau 50 Essen 45279,36300272.0
Givaudan Deutschland GmbH,Giselherstrasse 11 Dortmund 44319,2998919.0
Global Life Sciences Solutions Germany GmbH,Hahnestr. 3 Dassel 37586,1909130.0
Glosemeyer GmbH & Co. KG,Südstraße 39 Osnabrück 49084,3841600.0
Glüh-Tec GmbH,Nieder-Wippekühl 2-4 Schaksmühle 58579,770269.0
Goldbeck,Ummelner Straße 4-6 Bielefeld 33649,1312490.0
Goldschmaus Natur GmbH & Co. KG,Industriestraße 10 Garrel 49681,9355901.0
Gontermann-Peipers GmbH,Marienbornerstraße 49 Siegen 57074,13427063.0
Grace Silica GmbH,Kreuzauer Straße 46 Düren 52355,54418573.0
Green Gas Germany GmbH,Bochumer Straße 267 Castrop-Rauxel 44575,5456500.0
Grimme Landmaschinenfabrik GmbH & Co. KG,Hunteburgerstraße 32 Damme 49401,1.0
Gruppe HEAT Herzberg GmbH,Siemensstraße 6 Herzberg 37412,2167000.0
Gräflicher Park GmbH & Co.& KG,Brunnenallee 1 Bad Driburg 33014,1384704.0
Grünenthal GmbH,Ziegerlerstraße 6 Aachen 52078,6064827.0
Grünewald Papier GmbH & Co. KG,Antoniusstr. 15 Kirchhundem 57399,18500000.0
GussStahl Lienen GmbH & Co.KG,IndustriestraÃe 10 Lienen 49536,1536948.0
Gustav Berning GmbH & Co. KG,Alte Heerstrasse 1 GeorgsmarienhÃ¼tte 49124,1638135.0
Gustav Denzin GmbH,Hardter Straße 400 Viersen 41748,16636752.0
Gustav Grimm Edelstahlwerk GmbH&Co.KG,Ronsdorfer Straße 174 Remscheid 42855,7250464.0
H&R Chemisch Pharmazeutische Spezialitäten GmbH,Neuenkirchener Strasse 8 Salzbergen 48499,145238507.0
H. Hüttenbrauck Profil GmbH,Alfred-Nobel-Straße 16 Unna 59423,1774211.0
H.D. Lenzen Bandverzinkungs GmbH & Co KG,Sedanstr. 41 Hagen 58089,1217379.0
H.O.Persiehl Wanfried GmbH & Co. KG,Vor dem Untertor 1 Wanfried 37281,1123330.0
HARIBO Grafschaft Produktions GmbH,Dr.-Hans-und-Paul-Riegel-Str. 5 Grafschaft 53501,9946534.0
HARTING Stiftung & Co. KG,Wilhelm-Harting-Str. 1 Espelkamp 32339,756000.0
HBT GmbH,"Industriestraße 1, Lünen, Deutschland Lünen 44534",183040.0
HELIOS Albert-Schweitzer-Klinik Northeim GmbH,Albert-Schweitzer-Weg 1 Northeim 37154,1050836.0
HELIOS Klinik Herzberg/ Osterode GmbH,Dr.-Frössel-Allee 1 Herzberg 37412,1359449.0
HELIOS Klinikum Krefeld GmbH,Lutherplatz 40 Krefeld 47805,7713637.0
HELIOS Klinikum Niederberg GmbH,Robert-Koch-Straße 2 Velbert 42549,2368760.0
HELIOS Klinikum Schwelm GmbH,Dr.-Moeller-Straße 15 Schwelm 58332,2488351.0
HELIOS Klinikum Siegburg GmbH,Ringstraße 49 Siegburg 53721,1121119.0
HELIOS Klinikum Warburg GmbH,Hüffertstr. 50 Warburg 34414,979200.0
HELIOS Klinikum Wuppertal GmbH,Heusnerstraße 40 Wuppertal 42283,5583160.0
HELLA GmbH & Co. KGaA,Rixbecker Straße 75 Lippstadt 59552,23773233.0
HERFORDER BRAUEREI GmbH,Gebr.-Uekermann-Straße 1 Hiddenhausen 32120,3517285.0
HEWI Heinrich Wilke GmbH,Hagenstr. 2 Bad Arolsen 34454,2306851.0
HFC GmbH,Graf-Zeppelin-Straße 16-20 Bad Wünnenberg-Haaren 33181,26636100.0
HOPPECKE Batterie Systeme GmbH,An der Bremecke 4 Brilon 59929,1245183.0
HOPPECKE Industriebatterien GmbH & Co. KG,Bontkirchener Straße 1 Brilon 59929,11224150.0
HQM Härtetechnik GmbH,Otto-Hahn-Str. 55 Leipzig 42369,2165460.0
HUGO VOGELSANG GmbH & Co. KG,Alemannenweg 32 Hagen 58119,4120800.0
Hagemeister GmbH & Co. KG,Buxtrup 3 Nottuln 48301,31926710.0
Hagener Feinstahl GmbH,Herdecker Str. 4-10 Hagen 58089,18794920.0
Hahnemühle FineArt GmbH,Hahnestr. 5 Dassel 37586,2063973.0
Hamburger Rieger Gelsenkirchen GmbH & Co. KG,Alfred-Zingler-Straße 15 Gelsenkirchen 45881,2836000.0
Hammerwerk Erft G. Diederichs GmbH & Co. KG,Ernst-Diederichs-Str. 1 Bad Münstereifel 53902,43713000.0
Harburg-Freudenberger Maschinenbau GmbH,Asdorfer Straße 60 Freudenberg 57258,1519683.1
Haribo Produktions GmbH & Co. KG,Hans-Riegel-Straße 1 Bonn 53129,15271004.4698
Harry-Brot GmbH,Harkortstr.60  Ratingen 40880,35880252.0
Hartmann Kunststofftechnik GmbH & Co.KG,Eimterstrasse 204 Herford 32049,1.0
Harz Guss Zorge GmbH,Walkenrieder Straße 32 Walkenried 37445,4205030.0
Haus Rabenhorst O. Lauffs GmbH & Co. KG,Rabenhorststraße 1 Unkel 53572,2500000.0
Heidelberg Materials AG,Zur Anneliese 9 Ennigerloh 59320,273482250.0
Heidemark Mästerkreis GmbH & Co. KG,Vahrener Weg 1 Molbergen 49696,4564923.6
Heimbach GmbH,An Gut Nazareth 73 Düren 52353,1102000.0
Heinrich Manten Qualitätsfleisch vom Niederrhein GmbH & Co. KG,Möhlendyck 11 Geldern 47608,6816284.0
Heinz Tummel GmbH & Co. KG,Eggeroder Straße 8 Schöppingen 48624,15236983.0
Helios Klinik Lengerich GmbH,Martin-Luther-Str. 49 Lengerich 49525,917015.0
Helios Klinik Wipperfürth GmbH,Alte Kölner Straße 9 Wipperfürth 51688,844759.0
Helios Kliniken Kassel Gemeinnützige GmbH,Hansteinstraße 29 Kassel 34121,1752113.0
Helios Klinikum Duisburg GmbH,Dieselstraße 185 Duisburg 47166,2413152.0
Helios Klinikum Siegburg GmbH - Helios Klinikum Bonn/Rhein-Sieg,Von-Hompesch-Straße 1 Bonn 53123,2547116.0
Helios Rhein-Ruhr Kliniken GmbH,Albertus-Magnus-Straße 33 Duisburg 47259,2599168.0
Helios St. Elisabeth Klinik Oberhausen GmbH,Josefstr. 3 Oberhausen 46045,936720.0
Hengst SE,Nienkamp 55-85 Münster 48147,9260700.0
Hermann Kuhler GmbH & Co. KG,Amboßweg 1 Remscheid 42855,2934.0
Herport Innenausbauelemente GmbH & Co. KG,Eichenallee 71-77 Ahaus 48683,2973036.0
Herpro Holzveredelung GmbH & Co. KG,Rottweg 75 Ahaus 48683,499908.0
Herta GmbH,Westerholter Strasse 750 - 770 Herten 45701,4058217.0
Herz und Diabeteszentrum NRW,Georgstraße 11 Bad Oeynhausen 32545,5229500.0
Herz-Jesu-Krankenhaus Hiltrup GmbH,Westfalenstrasse 109 Münster-Hiltrup 48165,1056492.0
Hess. Schmelztiegel- u. Schamottsteinfabrik,Dieter-Liphardt-Str. 9-11 Großalmerode 37247,1432808.0
Hille & Müller GmbH,Am Trippelsberg 48 Düsseldorf 40589,2416808.0
Hitachi Energy Germany AG,Lohfelder straße 19-21 Bad Honnef 53604,14280000.0
Hochwald Foods GmbH,Ziegelfeld 16 Mechernich 53894,15284600.0
Hol-tex GmbH,Holter Straße 200 Schloß Holte-Stukembrock 33758,3835000.0
Hollager Ziegelwerk Berentelg & Hebrok GmbH & Co. KG,Hollager Straße 106 Wallenhorst-Hollage 49134,25000000.0
HolzEnergieWerk Melsungen GmbH & Co. KG,Am Haidelspfad 4 Melsungen 34212,111000000.0
Holzheizkraftwerk Melsungen GmbH & Co. KG,Am Haidelspfad 2 Melsungen 34212,70300000.0
Huntsman (Germany) GmbH,Hafenringstrasse 1 Osnabrück 49090,1654646.0
Huntsman Products GmbH,Römerstraße 733 Moers 47443,30000000.0
Huster Oberflächentechnik GmbH,Gründelbusch 27a Hagen 58099,3390000.0
Hydro Aluminium High Purity GmbH,Aluminiumstraße 2 Grevenbroich 41515,1279843.0
Hydro Extrusion Lüdenscheid GmbH,Talstraße 105 Lüdenscheid 58515,33709829.0
Häcker Küchen GmbH&Co.KG,Venner Esch 3 Ostercappeln 49179,1697754.0
Härterei Carl Gommann GmbH,Dreiangelstraße 29 Remscheid 42855,7339000.0
Härterei Reese Bochum,Oberscheidstraße 25 Bochum 44807,7536048.0
Härtetechnik Niederberg GmbH&Co.KG,Neustraße 91-97 Velbert 42553,1306000.0
Härtetechnik Steinbach GmbH & Co. KG,Erich-Hoepner-Ring 10 Wuppertal 42369,2683020.0
Hörmann KG Brockhagen,Horststraße 17 Steinhagen 33803,329600.0
Hüttenwerke Krupp Mannesmann GmbH,Ehinger Str. 200 Duisburg 47259,7160668232.0
IBENA Textilwerke GmbH,Donaustr. 4 Bocholt 46395,2302998.0
IKEA Distribution Services GmbH & Co. KG,Ellinghauser Str. 213 Dortmund 44359,131540.0
IMR Innovative Metal Recycling GmbH,Bataverstraße 27 Krefeld 47809,690595.0
INEOS Manufacturing Deutschland GmbH,Alte Strasse 201 Köln 50769,9380000000.0
INEOS Solvents Germany GmbH,Shamrockstr. 88 Herne 44623,940500000.0
INEOS Styrolution Köln GmbH,Alte Straße 201 Köln 50769,2247000.0
INOVYN Deutschland GmbH,Ludwigstrasse 12 Rheinberg 47495,154551902.0
INTOCAST AG,Zum Eisenhammer 23 Oberhausen 46049,11932000.0
ISO-Tech Kunststoff GmbH,Rottweg 22 Ahaus 48683,1658253.899
ISOVOLTA Kassel GmbH,Otto-Hahn-Str. 5 Kassel 34123,6810011.0
ISRINGHAUSEN GmbH & Co. KG,ISRINGHAUSEN-Ring 58 Lemgo 32657,728375.0
Innovatec microfibre technologie GmbH,Gierlichstrasse 10 Troisdorf 53840,3520921.0
International Metal Service Nord GmbH,Eupener-Str. 70 Düsseldorf 40549,1171891.0
Internorm Kunststofftechnik GmbH,Robert-Bosch str.5 Damme 49401,51660.0
Intersnack Deutschland SE,Industriestraße 2 Olsberg 59939,26083184.0
Interzero Plastics Sorting GmbH,Paul-Baumann-Str. 1 Marl 45772,3659410.0
Iqony Energies GmbH,Walpurgisstrasse 1 Essen 45131,36973243.0
Irle Rolls GmbH,Hüttenweg 5 Netphen 57250,20370787.0
Isola GmbH,Isolastraße 2 Düren 52353,5140000.0
Isselguß GmbH Gießereierzeugnisse,Minvervastraße 1 Isselburg 46419,27286992.0
J. D. von Hagen AG,Zollhausstr. 42-45 Iserlohn 58640,1943577.0
J. vom Cleff A. Sohn GmbH & Co. KG,Kemmannstr. 90 Wuppertal 42349,1067068.0
J.D. Geck GmbH,Rahmedestraße 399 Altena 58762,63108.0
Jacob Stauder GmbH CoKG,Stauderstr. 88 Essen 45326,2560740.0
Jagotech Paper GmbH,Hoffnungstal  3 Almersbach 57610,8136743.0
Jean Schaap GmbH,Averbeck 51 Heek 48619,21590290.0
Jet Schaumstoff-Formteile GmbH,Weidehorst 28 Hüllhorst 32609,7963222.0
Joh. Sieben GmbH,Am Weidenhof 3 Heinsberg 52525,1523353.0
Johnson Matthey Chemicals GmbH,Wardstraße 17 Emmerich am Rhein 46446,10190000.0
Jokey Gummersbach SE,Gutenbergstraße 9 Gummersbach 51645,2058664.0
Jokey SE,Fähnrichstüttem 15 Wipperfürth 51688,1644699.0
Josef Schmelter GmbH,Auf der Endert 1 Lennestadt 57368,768320.0
Julius Schulte Söhne GmbH & Co. KG,Fruchtstrasse 28 Düsseldorf 40223,104517477.21000001
Jung Papier GmbH,Kappeler Str. 51 Düsseldorf 40597,13913821.0
Jungfer Druck und Verlag GmbH,Gutenbergstrasse 3 Herzberg 37412,14302428.0
Junkers & Müllers GmbH,Bolksbuscher Str. 27 Mönchengladbach 41239,5923263.0
Jäckering Grund- und Rohstoffverarbeitung GmbH & Co. KG,Hafenstraße 21 Hamm 59067,3397265.0
Jäkel GmbH & Co. KG,Hellenberg 20 Diemelstadt 34474,2011000.0
K+S Minerals and Agriculture GmbH,Karlstr. 80 Rheinberg 47495,13311720.0
K. & H. Fischer GmbH,Raiffeisenstr. 8 Radevormwald 42477,9153143.0
KAMAX GmbH & Co. KG,Petershütter Allee 29 Osterode am Harz 37520,16358673.0
KANZAN Spezialpapiere GmbH,Nippesstr. 5 Düren 52349,208259505.0
KASSELWASSER,Gartenstraße 90 Kassel 34125,4566000.0
KAVG Kreisabfallverwertungsgesellschaft mbH Mi-Lübbecke,Flurweg 15 Porta Westfalica 32457,7193740.0
KDW Klinkerdachziegelwerk GmbH & Co. KG,Ziegeleiweg 1b Natrup-Hagen 49170,27950000.0
KEM | Evang. Kliniken Essen-Mitte gGmbH,Henricistr. 92 Essen 45136,9402740.0
KKT Frölich Kautschuk-Kunststoff-Technik GmbH,Friedrich Ebert Str. 208 Osterode am Harz 37520,62500.0
KKT Kaller-Kunstofftechnik Gmbh,Siemensring 32 Kall 53925,2235500.0
KLINIKUM Westfalen GmbH,Am Knappschaftskrankenhaus 1 Dortmund 44309,1302229.0
KME Germany GmbH,Klosterstraße 29 Osnabrück 49074,75838878.0
KNIPEX Werk C. Gustav Putsch KG,Oberkamper Str. 13 Wuppertal 42349,9544790.0
KRONOS TITAN GmbH,Peschstr. 5 Leverkusen 51373,282426000.0
KRONOSPAN GmbH,Leopoldstaler Straße 195 Steinheim 32839,85062949.0
KS Baustoffwerke Blatzheim GmbH & Co. KG,Kieswerk 5  Kerpen 50171,1103000.0
KSPE Kalksandstein-Planelemente GmbH & Co. KG,Zum Vogelsberg 12 Haltern am See 45721,823320.0
Kabel Premium Pulp & Paper GmbH,Schwerter Straße 263 Hagen 58099,327938000.0
Kaiser GmbH Oberflächentechnik,Jägersgrund 12 Erndtebrück 57339,1696872.0
Kalkwerke H. Oetelshofen GmbH & Co. KG,Hahnenfurth 5 Wuppertal 42327,16398980.0
Kalkwerke Otto Breckweg GmbH & Co. KG,Neuenkirchener Straße 400 Rheine 48432,37213234.0
Kandelium Barium Strontium GmbH & Co. KG,Brunnenstr. 901 Bad Breisig 53498,83846265.0
Kandelium Care GmbH,Am Güterbahnhof Bad Hönningen 53557,46601084.0
Kandelium GmbH,Am Güterbahnhof Bad Hönningen 53557,14382711.0
Kao Chemicals GmbH,Kupferstr. 1 Emmerich am Rhein 46446,54148500.0
Karl Hess GmbH & Co.KG,Benzstraße 13 Neunkirchen 57290,1138000.0
Karl-Heinz Hesse GmbH Wäscherei Reinigung,Imbser Weg 5 Dransfeld 37127,948000.0
Kartoffelmanufaktur Pahmeyer GmbH & Co. KG,Rotenhagener Str. 47 Werther 33824,5451815.0
Kaschke Components GmbH,Rudolf-Winkel-Straße 6 Göttingen 37079,2318000.0
Katholische Hospitalgesellschaft Südwestfalen gGmbH Olpe,Hospitalweg 6 Olpe 57462,1104696.0
Kaufland Vertrieb 17  GmbH & Co. KG,Oppelner Straße 128 Bonn 53119,5875912.0
Kaufland Vertrieb 242 GmbH & Co. KG,Breslauer Straße 35 Aachen 52068,12591214.0
Kaufland Vertrieb 290 GmbH & Co. KG,Gustav-Heinemann-Straße 2 Erftstadt 50374,5772194.0
Kaufland Vertrieb 35 GmbH & Co. KG,Planckstraße 1 Lippstadt 59557,1800396.0
Kaufland Vertrieb 40  GmbH & Co. KG,Herzberger Landstraße 8 Osterode 37520,2958448.0
Kaufland Vertrieb 54  GmbH & Co. KG,Stixchesstraße 123 Leverkusen-Manfort 51377,2595239.0
Kaufland Vertrieb 64  GmbH & Co. KG,Am Kauf Park 2 Göttingen-Grone 37079,3026781.0
Kaufland Vertrieb 7 GmbH & Co. KG,Mevissenstraße 60 Krefeld 47803,2362165.0
Kaufland Vertrieb 70  GmbH & Co. KG,Kurze-Geismar-Straße 30 Göttingen 37073,3096136.0
Kaufland Vertrieb 76  GmbH & Co. KG,Bahnhofstraße 80-84 Oberhausen-Sterkrade 46145,1169245.0
Kaufland Vertrieb 78  GmbH & Co. KG,Rheindorfer Straße 48-56 Langenfeld 40764,5796978.0
Kaufland Vertrieb ALPHA  GmbH & Co. KG,Franzgraben 40-42 Kassel-Wesertor 34125,4746903.0
Kaufland Vertrieb EPSILON  GmbH & Co. KG,Westring 10 Arnsberg-Bruchhausen 59759,10801419.0
Kaufland Vertrieb GAMMA  GmbH & Co. KG,Welfenstraße 21 Bocholt 46395,4075665.0
Kaufland Vertrieb KAPPA  GmbH & Co. KG,Dieringhauser Straße 16 Gummersbach 51645,11985671.0
Kaufland Vertrieb KDSB  GmbH & Co. KG,Friedrichstraße 152 Düsseldorf-Friedrichstadt 40217,2628230.0
Kaufland Vertrieb KDSG  GmbH & Co. KG,Alter Markt 1 Bochum-Wattenscheid 44866,17497231.0
Kaufland Vertrieb KDSH  GmbH & Co. KG,Elliehäuser Weg 23 Göttingen-Weststadt 37079,4914399.0
Kaufland Vertrieb KDSL  GmbH & Co. KG,Bahnhofstraße 37 Alsdorf 52477,22932730.0
Kaufland Vertrieb KDST  GmbH & Co. KG,Refrather Weg 1 Bergisch Gladbach 51465,12418766.0
Kaufland Vertrieb THETA GmbH & Co. KG,Grüttweg 42-46 Rees 46459,1894147.0
Kaufland Vertrieb ZETA  GmbH & Co. KG,"Ottostraße 40-43 Bochum-Wattenscheid, 44867",18727763.0
Kautex Textron GmbH & Co. KG,Alter Heerweg 2A Bonn 53123,1567967.0
Kay Brenner,Industriestraße 1 Ringe 49824,200000.0
Kennametal Produktions GmbH,Münchenerstraße 125-127 Essen 45145,9855800.0
KeraTür GmbH & Co.KG,Vennekenweg 12 Raesfeld 46348,4271705.0
Kesseboehmer Warenpräsentation GmbH & Co. KG,Bruchheide 18 Bohmte 49163,6895826.0
Kesseböhmer Beschlagsysteme GmbH & Co. KG,Mindener Straße 208 Bad Essen 49152,4545205.0
"Kind & Co., Edelstahlwerk, GmbH & Co. KG",Bielsteiner Str. 122 - 130 Wiehl - Bielstein 51674,39904333.0
Kindel GmbH u. Co. KG,Wittener Str. 238 Wuppertal 42279,3554928.0
Klaus Kuhn Edelstahlgießerei GmbH,Otto-Hahn-Straße 12-14 Radevormwald 42477,7045345.0
Klingele Paper & Packaging SE & Co. KG,Brede 1 Werne 59368,2323196.0
Klingelnberg GmbH,Peterstraße 45 Hückeswagen 42499,8533642.0
Kliniken der Stadt Köln gGmbH,Neufelder Straße 34 Köln 51067,6643115.0
Klinikum Dortmund gGmbH,Beurhausstr. 40 Dortmund 44137,12350000.0
Klinikum Vest GmbH,Dorstener Strasse 151 Recklinghausen 45657,1608315.0
Klinker- und Keramikwerke A. Berentelg & Co. KG,Dornierstraße 11 Hörstel 48477,53350000.0
Klinkerwerke H. W. Muhr GmbH & Co. KG,Fackeldeystraße 80 - 100 Emmerich am Rhein 46446,5279506.0
Knauf Interfer Cold Rolling,Im Ostfeld 1 Iserlohn 58642,1727246.0
Knipping Kunststofftechnik King Plastic GmbH,Hammerwiese 3 Gummersbach 51647,1856968.0
Knodt GmbH,Am Hälshof 31-33 Sonsbeck 47665,19766000.0
Kodak Graphic Communications GmbH,An der Bahn 80 Osterode 37520,440095.0
Konecranes GmbH,Forststr. 16 Düsseldorf 40597,1562660.0
Kraft- Schlötels GmbH,Industriestraße 3 Wassenberg 41849,6454489.0
Kraftwerk Neuss GmbH,Düsseldorfer Straße 182 Neuss 41460,74910000.0
Krankenhaus Düren gGmbH,Roonstr. 30  Düren 52351,1426720.0
Krankenhaus St. Barbara Attendorn GmbH,Hohler Weg 9 Attendorn 57439,1304934.0
Kreiskkliniken Gummersbach-Waldbröl GmbH,Dr.-Goldbogen-Str. 10 Waldbröl 51545,9073594.0
Kreissparkasse Düsseldorf,Am Rathaus 1-3 Mettmann 40822,134665.0
Krombacher Brauerei Bernhardt Schadeberg GmbH & Co. KG,Hagener Straße 261 Kreuztal 57223,147623152.0
Kröner-Stärke GmbH,Im Bocketal 21-29 Tecklenburg 49545,23402000.0
Kuchenmeister GmbH,Coesterweg 31 Soest 59494,1000000.0
Kunststofftechnik Backhaus,Waldheim Strasse 8 Kierspe 58566,1460684.0
Kuraray Europe GmbH,Mühlheimer Straße 26 Troisdorf 53840,7867900.0
KÖHLER KALK GmbH,Hinter den Höfen 2 Meißner 37290,7721844.0
LAC Beteiligungs GmbH,Im Sande 3 Ladbergen 49549,1383817.0
LANXESS Deutschland GmbH,Chempark 0 Dormagen 41538,1020950600.0
LANXESS Organometallics GmbH,Ernst-Schering-Str. 14 Bergkamen 59192,353168.0
LINSS Malsfeld GmbH,Brauereistraße 2 Malsfeld 34323,667598.0
LISI AUTOMOTIVE Knipping Verbindungstechnik GmbH,In der Helle 7 Kierspe 58566,2628666.0
Lacroix+Kress GmbH,Engterstraße 34 Bramsche 49565,24037606.0
Landbäckerei Sommer GmbH,Reister Berg 2a Eslohe 59889,985000.0
Laufenberg GmbH,Krüserstraße 2 Krefeld 47839,6266609.0
Leiber GmbH,Hafenstraße 24 Bramsche 49566,41545893.5276
Leybold GmbH,Bonner Str. 498 Köln 50968,17412000.0
Lichtgitter Gesellschaft mit beschränkter Haftung,Siemensstraße 1 Stadtlohn 48703,1773898.0
Lidl GmbH & Co. KG,Weetfelder Str. 38 Bönen 59199,39889374.29
Lieken Brot- und Backwaren GmbH,Weidkamp 230 Essen 45356,11542296.0
Linde Gas Produktionsgesellschaft mbH & Co. KG,Friedrich der Große 6 Herne 44628,99602566.0
"Linde GmbH, Geschäftsbereich Linde Gas",Hackenbroicher Straße 199 Köln 50769,1840200.0
Lindemann & Störmer GmbH & Co.KG,Borkshagenstraße 4-6 Arnsberg 59757,2209000.0
Lippische Eisenindustrie GmbH,Alter WEg 57 Detmold 32760,5003754.0
Ludwig Weinrich GmbH & Co. KG,Zimmerstr. 1 Herford 32051,2000000.0
Lynxeo Deutschland GmbH,"Bonnenbroicher Straße 2-14, Mönchengladbach 41238",7616600.0
Lülsdorf Functional Solutions GmbH,Feldmühlestraße 3 Niederkassel 53859,12157254.0
M + C Schiffer GmbH,Industriestraße 4 Neustadt 53577,1044510.0
M A W Mitteldeutsche Asphaltwerke GmbH & Co. KG,Stormarnstraße 30 Frielendorf 34621,524367.0
M. Busch GmbH & Co. KG,Wehrstapeler Str. 12 Meschede-Wehrstapel 59872,59667000.0
MAT Commercial Vehicle Products GmbH,Klosterstrasse 16 Marienheide 51709,881280.0
MEP Münsterland Energy Production GmbH,Am Kanal 45 Ladbergen 49549,8058870.0
METRO LOGISTICS Germany GmbH,Hafenstraße 119 Hamm 59067,8000000.0
MEWA Textil-Service SE & Co. Deutschland OHG,Hermann-Gebauer-Platz Bottrop 46238,10528000.0
MHB Hamm Betriebsführungs gesellschaft mbH,Am Lausbach 2 Hamm 59075,55120000.0
MHKW Leverkusen AVEA Entsorgungsbetriebe GmbH & Co. KG,Im Eisholz 12 Leverkusen 51373,65090000.0
MM Neuss GmbH,Düsseldorferstrasse 182-184 Neuss 41460,319779328.0
MVA Bielefeld-Herford GmbH,Schelpmilser Weg 30 Bielefeld 33609,377289225.0
MVA Müllverwertungsanlage Bonn GmbH,Immenburgstr. 22 Bonn 53121,32663400.0
MVA Weisweiler GmbH & Co. KG,Am Hagelkreuz 22 Eschweiler 52249,97426604.0
MVV Enamic Korbach GmbH,Limmerstraße 2 Korbach 34497,136873000.0
Madaus GmbH,Lütticher Str. 5 Troisdorf 53842,6624963.0
Magna Casting Soest GmbH,Overweg 24 Soest 59494,55080767.0
Mannstaedt GmbH,Mendener Str. 51 Troisdorf 53840,7229827.0
Marco Deckers KG,Milchweg 69 Geldern 47608,1708435.0
Marienhospital Bottrop gGmbH,Josef-Albers-Straße 70 Bottrop 46236,1205182.0
Marienhospital Osnabrük,Bischhofstraße 1 Osnabrück 49074,4491885.0
Martinrea Bergneustadt GmbH,Othestrasse 19 Bergneustadt 51702,8913478.0
Martinrea Honsel Germany GmbH,Fritz Honsel Straße 30 Meschede 59872,23700898.0
Martinswerk GmbH,Koelner Straße 110 Bergheim 50127,313418548.4166
Maxion Wheels Werke GmbH,Ladestraße 1 Königswinter 53639,16681740.0
Mayr-Melnhof Holz Olsberg GmbH,Industriestraße 1 Olsberg 59939,1930000.0
McAirlaid's Vliesstoffe GmbH,Zum Eichberg 2 Berlingerode 37339,1450000.0
Mega Tierernährung,Boschstr. 11 Cloppenburg 49661,2577718.0
Mehler Engineered Products GmbH,Leipziger Straße 100-103 Hessisch Lichtenau 37235,12717471.0
Mehler Texnologies GmbH,Rheinstraße  11 Hückelhoven 41836,7872394.0
Melitta Group Management GmbH & Co. KG,Ringstraße 99 Minden 32427,27814178.0
Melos GmbH,Bismarckstr. 04. Okt Melle 49324,16218205.3882
Mera Tiernahrung GmbH,Industriestraße 16 Kevelaer 47623,18880000.0
Mercedes-Benz AG,Rather Straße 51 Düsseldorf 40476,89092903.0
Messe Düsseldorf GmbH,Stockumer Kirchstraße 61 Düsseldorf 40474,1644516.0
Messingwerk Plettenberg Herfeld GmbH & Co. KG,Reichsstraße 80 Plettenberg 58840,4640000.0
Mestemacher GmbH,Am Anger 16 Gütersloh 33332,5134387.0
Metallhütte Hoppecke GmbH & Co. KG,Bontkirchener Straße 1 Brilon 59929,6367507.0
Metsä Greaseproof Papers GmbH,Veldenerstrasse 121 -131 Düren 52349,39831000.0
Miele & Cie. KG,Mielestraße 2 Bielefeld 33611,23418295.0
Minegas GmbH,Buddestraße 0 Recklinghausen 45659,339393498.0
Mingas-Power GmbH,Carl-Duisberg-Straße 0 Marl 45772,184151156.0
Mitsubishi Chemical Advanced Materials Composites GmbH,Hansaring 2-4 Lotte 49504,250000.0
ModelGmbH,Stockholmer Str. 40 Bad Bentheim 48455,13993562.0
Moers Frischeprodukte GmbH & Co. KG,Dr.-Berns-Str. 23 Moers 47441,45601255.0
Mohn Media Mohndruck GmbH,Carl Bertelmann Str. 161 Gütersloh 33311,177617666.0
Molkerei Söbbeke GmbH,Amelandsbrückenweg 131 Gronau 48599,4824217.0
Monowell GmbH & Co. KG,Grothusstraße 90A Gelsenkirchen 45883,2398967.0
Morgan Molten Metal Systems GmbH,Noltinastr. 29 Berkatal 37297,8796520.0
