Firmenname,Adresse,Wärmemenge pro Jahr (in kWh/a)
BG Klinikum Duisburg gGmbH,Großenbaumer Allee 250 Duisburg 47249,2512316.0
BGH Edelstahl Siegen GmbH,Eiserfelder Straße 62 Siegen 57072,33578353.0512
BGS Beta-Gamma-Service GmbH & Co. KG,Fritz-Kotz-Str. 16 Wiehl 51674,934328.0
BILSTEIN GmbH & Co. KG,Im Weinhof 36 Hagen 58119,34605573.0
BMI Deutschland GmbH,Heisterholz 1 Petershagen 32469,10170500.0
BMK Biomassekraftwerk Lünen GmbH,Josef-Rethmann-Str. 4 Lünen 44536,414565582.0
BNP Brinkmann GmbH & Co. KG,Kreimershoek 11 Hörstel 48477,3387459.0
BONG GmbH,Piepersberg 30 Solingen 42653,193721.0
BP Europa SE,Raffineriestraße 1 Lingen 49808,2599818333.42
BPW Bergische Achsen KG,Röhlefelder Straße 1 Brüchermühle 51580,5942898.0
BSN Jobst GmbH,Beiersdorfstraße 1 Emmerich 46446,813240.0
Baerlocher GmbH,Am Hilgenberg 1 Lingen (Ems) 49811,2751164.0
Bakelite GmbH,Glockenrain 2 Frielendorf 34621,17355879.0
Ball Beverage Packaging Gelsenkirchen GmbH,Emscherstraße 46 Gelsenkirchen 45891,7802590.0
Bamberger Mälzerei Beteiligungs GmbH,Rheinstraße 158-168 Mülheim 45478,10987628.0
Baosteel Tailored Blanks GmbH,Mannesmannstrasse 101 Duisburg 47259,1593297.0
Baumit GmbH z.Hd. Geschäftsführer,Karlstr. 23 Oer-Erkenschwick 45739,1056000.0
Befesa Salzschlacke GmbH,Brunnenstraße 138 Lünen 44536,70714995.0
Behr-Hella Thermocontrol GmbH,Hansastraße 40 Lippstadt 59557,945804.0
Benteler Steel Tube GmbH und Co. KG,Luisenstraße 117 Dinslaken 46537,130089425.0
Bergmannsheil und Kinderklinik Buer GmbH,Schernerweg 4 Gelsenkirchen 45894,1581082.0
Berief Food GmbH,Kerkbrede 3 Beckum 59269,5292331.0
Beulco GmbH & Co. KG,Kölner Straße 92 Attendorn 57439,505755.0
Bewital agri GmbH & Co.KG,Industriestrasse 10 Südlohn-Oeding 46354,981000.0
Bewital petfood GmbH & Co.KG,Daimlerstrasse 20 Südlohn-Oeding 46354,1228000.0
Bioenergie Lünen GmbH & Co. KG,Buchenberg 80 Lünen 44532,2047527.0
Bioiberica GmbH,Aurea 4 Rheda-Wiedenbrück 33378,7634447.0
Bischof+Klein,Rahestraße 47 Lengerich 49525,9803000.0
Björn Liewert,Raiffeisenstrasse 2 Radevormwald 42477,188497.0
Blanke textech GmbH,Industriestr. 6-12 Bad Salzuflen 32108,8523364.0
Bleistahl Produktions GmbH & Co. KG,Osterfeldstr.51 Wetter 58300,20974000.0
Blomberger Holzindustrie GmbH,Königswinkel 2  Blomberg 32825,2236125.0
Bochumer Fleisch GmbH & Co.KG,Freudenbergstrasse 45K Bochum 44809,22360098.0
Bon Gelati Haaren GmbH,Entenpfuhl 6 Waldfeucht 52525,1520676.0
Bon Gelati Übach-Palenberg GmbH & Co. KG,David-Hansemann-Straße 1-25 Übach-Palenberg  52531,2150360.0
Bonback Übach-Palenberg GmbH & Co. KG,David-Hansemann-Straße 1-25 Übach-Palenberg 52531,18661755.0
Bonifatius Hospital Lingen gGmbH,Wilhelmstraße 13 Lingen 49808,914430.0
Brand Qualitätsfleisch GmbH & Co. KG,Brandstr. 21 Lohne 49393,520000.0
Brauerei C. & A. Veltins GmbH & Co.KG,An der Streue 2 Meschede 59872,33365634.0
Brockhaus Stahl GmbH,Herscheider Str. 81 Plettenberg 58840,2189501.0
BÖGRA Technologie GmbH,Georgestraße 5 Solingen 42719,258423.0
Bäckerei Hermann GmbH,Einbecker Landstraße 22 Northeim 37154,944985.0
Bäckerei Schneider GmbH,Daimlerstr. 9 Elsdorf 50189,233720.0
Börde-Energie GmbH & Co. KG,Northeimer Str. 51 Warburg 34414,17882300.0
